,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,date
0,KR3ST3N,"Far, nørd, løber. 

Tweets fra min arbejdsgiver reflekterer ikke nødvendigvis mine holdninger. Det samme gælder den anden vej (men jeg tror de er ligeglade).",København-ish,308,128,6622,80,"I øvrigt har jeg som etnisk dansk mand helt glemt at tage afstand fra svig og dokumentfalsk. Det er vigtigt at understrege over for andre borgere i landet, at vi altså ikke alle sammen er svindlere! Nogle af os er faktisk velintegrerede og følger danske værdier og love. #dkpol",[],2021-08-14 23:57:21
1,ydesen,Sportsjournalist hos Det Nordjyske Mediehus (NORDJYSKE),"Aalborg, Danmark",306,546,527,0,"Jeg har fået feber efter min anden dosis Moderna. Det er fint nok, men det er jævnt irriterende, at både min overbo og underbo så vælger at fyre op for hver sin technofest netop i aften. Så @Heunicke kan vi ikke få genindført de restriktioner? 🤣 #dkpol #COVID19dk","['dkpol', 'COVID19dk']",2021-08-14 23:54:48
2,liberty_dane,"Pipper om politik og frihed.

Great minds discuss ideas. Average minds discuss events. Small minds discuss people.",,342,603,62396,3,"@PukDamsgaard Hvorfor taler I ikke om kerneproblemet? Islam. At 99% af afghanerne jvf Pew Research går ind for at “Sharia skal være landets officielle lov”?

Hvis der ikke er støtte til frihed eller demokrati så har det jo aldrig været en tabt kamp?

#dkpol #dkmedier #Afghanistan #islamisme https://t.co/31Aw4yY97q","['dkpol', 'dkmedier', 'Afghanistan', 'islamisme']",2021-08-14 23:53:01
3,liberty_dane,"Pipper om politik og frihed.

Great minds discuss ideas. Average minds discuss events. Small minds discuss people.",,342,603,62396,0,"@PukDamsgaard Hvor er det afghanske militær? Et militær vi har pumpet milliarder i? Som har kampfly og kamphelicoptere?

#dkpol #taknemlighed #dkmedier","['dkpol', 'taknemlighed', 'dkmedier']",2021-08-14 23:49:32
4,HulaHop36751661,Har en kandidat i kvantefysik fra KU. Mener at venstrefløjspolitik skal sikre frihed for mennesker,,204,54,2643,59,"JOBCENTER TRÅD:
#dkpol #dksund 

1/
I går raskmeldte jeg mig pr. 31/8. Med det føler jeg mig også mere fri til, at berette om mine oplevelser, uden gentagne intimideringer som - “hvis du er utilfreds er der jo ingen grund til at skrive det nogen steder”","['dkpol', 'dksund']",2021-08-14 23:47:04
5,annebetpedersen,"PhD Fellow writing about the cultural obsession with Sylvia Likens and the Trope of the Beautiful Dead White Girl 
She/Her
ADHD",,1286,1414,37130,5,Hvem er denne fantastiske Mads fra @omDSB ? #dkpol https://t.co/QrjXdwiAyM,['dkpol'],2021-08-14 23:44:51
6,DrNoMask,"Coincidence analyst. 
Masters degree in bullshit and what not.

https://t.co/LsHgZo8oiw",,1542,2025,22199,4,"Sikker og effektiv.
#dkpol #dkmedier #sundpol #Covid19dk #coronadk https://t.co/xWj77C3FpS","['dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk']",2021-08-14 23:30:14
7,LudSkarp,Prøver at være en mellemting mellem slaven på triumfvognen og den lille dreng i kejserens nye klæder. Antifa. Ejegodt gemyt.,,508,367,7280,0,"Ringen er sluttet.
USA sørgede for våben til Taliban under den sovjetiske besættelse (Venstre hjalp) og nu efterlader de endnu flere til deres gamle venner.
#skarplud #dkpol #dkmedier https://t.co/y9wtZzHzuT","['skarplud', 'dkpol', 'dkmedier']",2021-08-14 23:28:14
8,MargueritteEch,|⚜️Author & Freelance-writer⚜️|L&R~Egmont~Aller~Saxo Publish~ Forfatterskabet | Member of Danish Author Union/Society |📚Historical & Political Researcher,⚜️🇩🇰Denmark~Copenhagen Area,2758,3251,32739,0,"@Volfing @AnderssonMikkel @fiwa Vi skal også tage højde for at medlemmer af Taliban ikke nødvendigvis trænger egne fly for at komme sig ind i Europa. De kan fly med andre flyselskaber o.l. Så beredskaben burde hæves, og fly standses til og fra Afganistan samt land der støtter dem. #dkpol",['dkpol'],2021-08-14 23:25:37
9,RolandAndreasen,"Advokat, LL.M


København 🛩️ Bergen",,513,106,1407,4,"Vi svigter vores allierede afghanske samarbejdspartnere.

Det er det vildeste svigt i dansk udenrigspolitik nogensinde. 

Skam jer #dkpol - uden undtagelser.

Halve aftaler er ydmygende. 

Respekt for vore faldne - er det mindste vi som demokrati kan forvente.

#dkmedier https://t.co/IWV58LNSAE",[],2021-08-14 23:24:34
