,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,date
0,SupAyaLaya,,,1232,522,34218,1,"Beder alle indberette dette tweet, da det tydeligt opfordrer til overgreb, tvang og vold mod børn og unge. Bør ikke høre hjemme på sociale medier
#coronadk #dkmedier #dkpol #covid19dk 
@SSTbrostrom @Heunicke hvad er det for nogle monstre i har skabt ? https://t.co/Ido6EZf2EC",[],2021-08-16 23:59:33
1,sskaarup21,"Mangeårig underviser med skarpe meninger til tider,politisk lidt til venstre for midten.Stor FCK fan.Far til teenager med alt hvad det indebærer🤗",Ringsted ,156,54,4603,31,"Så @AndersFoghR mener stadig Afghanistan krigen er en succes, der skulle bare mere militær til i @tv2newsdk. Helt absurd mangel på realitet, ansvar og analyse!  20 års fejlslagen og blodig krig kalder på politisk refleksion, ikke at de ansvarlige fordrejer virkeligheden! #dkpol",[],2021-08-16 23:57:48
2,AvWLovgreen,Brussels-based Dane with flair for EU affairs and Formula 1🏎,"Brussels, Belgium",2192,1101,4168,0,"Fuldstændig til grin @omDSB !!! 1 minut før afgang (som i øvrigt er aftenen sidste afgang) skifter I spor, og jeg misser toget fra Nørreport. Tænker I nogensinde over hvordan det er at være passager????  Da det var sidste afgang måtte jeg tage en taxa og brænde 550 DKK af #dkpol",['dkpol'],2021-08-16 23:46:13
3,marook,"IT, gymnastik, LEGO og lidt politik.",Copenhagen,266,163,6888,10,Nogen gange er man minke-hurtig. Andre gange er man tolke-langsom #dkpol @regeringDK #Afganistan #covid,"['dkpol', 'Afganistan', 'covid']",2021-08-16 23:45:20
4,John_Hansen_DK,"Vind en diskussion med venstrefløjen = blokeret. Blokeret af bl.a. Sanne Søndergaard, Dansk Kvindesamfund, Dorte Toft, Ole Wolf og naturligvis Allan Lindemark.",,654,228,17145,2,"Vi mangler stadigvæk, at Mette Frederiksen kommer for Rigsretten og forsvinder ud af politik for groft at lyve og groft at tilsidesætte Grundloven og uden lovhjemmel ødelægge et over 100 år gammelt minkerhverv.

@folketinget @Spolitik #dkpol
#dkmedier
@tv2politik @DebattenDR2",[],2021-08-16 23:43:13
5,KirstenSletbjer,IAGTTAGENDE !,"Kalundborg, Danmark",1994,1416,18585,2,"https://t.co/MpW5fpfn1k
#dkpol - “Vores eneste vigtige mål har hele tiden været at forhindre terrorangreb mod USA. Amerikanske soldater skal ikke dø i en krig”

Der var altså aldrig tale om at forhindre terror i Europa. Hvorfor gik vi ind i US krig? Er vi blevet udnyttet?",['dkpol'],2021-08-16 23:37:06
6,PaviaDk,"Photographer.
Næstekærlighed - En klima-, miljøvenlig og grøn omstilling.
Om det er bæredygtigt kommer i anden række.",Denmark,1096,133,5098,2,@FranciskaRosenk: “Krig burde være være ulovligt” #dkpol,['dkpol'],2021-08-16 23:36:22
7,john1966olsen,Erly retired old YouTuber and computer gamer. I enjoy life :-)  Socialdemokrat and S-member. #MongoTV #MongoNews #MongoTube #MongoMedia #MongoSpace #MongoDrones,Denmark - Copenhagen North,4999,2625,979221,0,"Hej @JeppeKofod og @Trinebramsen 

Bedste løsning nu er, at amerikanerne/@NATO flyver dansker ud med helikopter.

#MongoTV
MongoTV_6850 - #FlightRadar 24 - Del 54 - #Flytrafik Over #Afghanistan - #Kabul Indtages.

#DkPol #SvPol #NoPol #KbhPol #dkmedier 
https://t.co/11iejbgYZR","['MongoTV', 'FlightRadar', 'Flytrafik', 'Afghanistan', 'Kabul', 'DkPol', 'SvPol', 'NoPol', 'KbhPol', 'dkmedier']",2021-08-16 23:35:16
8,Ibsen2860LA,Hvad vil vi og hvorfor? Hvad skal vi gøre og hvordan? Virker det og hvor godt? Liberal. Danmark er et uland. Borgeren før borgmesteren. Folket før Tinget.,"Gladsaxe, Danmark",405,37,1825,40,"Mente nok, jeg havde set det et sted før… #Faktisk #dkpol #retro https://t.co/E0F44LAPnJ","['Faktisk', 'dkpol', 'retro']",2021-08-16 23:33:14
9,KarmusDK,"Activist, student, programmer, worker, author & designer - interested in libertarian socialism, crypto, feminism, social justice, labor, gender & green politics",Denmark,1,53,2575,0,"#Sygeplejersker nes konflikt er mao.dømt til at mislykkes fordi deres produktivitet er druknet i lægeligt bureaukrati og papirarbejde fremfor nærkontakt med patienterne som burde være deres kerneopgave. Bekæmp #NewPublicManagement-spøgelset #sundpol #dkpol
https://t.co/XKMSoQzZmi","['Sygeplejersker', 'NewPublicManagement', 'sundpol', 'dkpol']",2021-08-16 23:33:10
10,rasmuslyo,"Humor, balla’ og politisk interesseret. Allergisk over for bullshitbingo! Byg’bar 🏗Pragmatisk, nørd, blev blød med far-titlen.❤️tatar, sejl, gt & miljøet.",Birkerød,2428,206,3596,53,"Mens #Kabul faldt, og @forsvaretdk forsøgte at evakuere danske diplomater og afghanske ansatte på ambassaden, talte @Trinebramsen om sæler med fiskere på Ærø #dkpol #dkforsvar #dkmedier https://t.co/75cHPsv6V3",['Kabul'],2021-08-16 23:32:04
11,KirstenSletbjer,IAGTTAGENDE !,"Kalundborg, Danmark",1994,1416,18585,2,"Vi mangler stadigvæk, at Mette Frederiksen kommer for Rigsretten og forsvinder ud af politik for groft at lyve og groft at tilsidesætte Grundloven og uden lovhjemmel ødelægge et over 100 år gammelt minkerhverv.

@folketinget @Spolitik #dkpol
#dkmedier
@tv2politik @DebattenDR2",[],2021-08-16 23:31:43
12,KirstenSletbjer,IAGTTAGENDE !,"Kalundborg, Danmark",1994,1416,18585,2,"Vi mangler stadigvæk, at Mette Frederiksen kommer for Rigsretten og forsvinder ud af politik for groft at lyve og groft at tilsidesætte Grundloven og uden lovhjemmel ødelægge et over 100 år gammelt minkerhverv.

@folketinget @Spolitik #dkpol
#dkmedier
@tv2politik @DebattenDR2","['dkpol', 'dkmedier']",2021-08-16 23:31:29
13,transceiverfreq,"xi=aixi'-(d+ai0+ai1)xi+rxi(fi-Φ ) | Freelance Research | Infosec | Professional 10th woman | Websnedker | 微博：zzz大梦想家 ☆ [Videnskab, klima & ugens kortfilm]","Frederiksberg, Denmark",340,1088,44937,0,"@Badefeen @LazarusLine @TrineBramsen er en katastrofe... #dkpol har virkelig en dårlig trackrecord, når det kommer til politikere, der kan blive ved med at tale usandt, for åben mic og stadig være minister...",['dkpol'],2021-08-16 23:29:05
14,bjerg_michael,"Medlem Dansk Folkeparti, Bestyrelsesmedlem Dansk Folkeparti Horsens, 1. Suppleant til Byrådet, Byrådskandidat til KV21 i Horsens for Dansk Folkeparti 🇩🇰 🇩🇰","Horsens, Danmark",142,70,1639,9,I dagens EB kalder dommerforeningens formand Mikael Sjøberg dommer Søren Serup Holms personlige nedrige holdning til Morten Messerschmidt en misforståelse! Var den hårde dom også en misforståelse? Tilliden til retssystemet vakler! #dkpol https://t.co/tSyenK3Awv,[],2021-08-16 23:26:54
15,JanArneHansen,"Socialkonservativ romantiker med hang til musik, film, fodbold, historie og wrestling. Siger gerne tingene lige ud - så er du advaret.",Denmark,313,31,307,23,"Hvis du vil hjælpe de hårdest ramte i #Afganistan kan du støtte:

@danskrodekors på Mobilepay 91345 eller SMS - send GIV250 til 1290
og støt med 250 kr.

@UNICEFDK på Mobilepay 72720 eller SMS - send en sms med teksten “hjælp” til 1900 og støt med 50 KR. 

#dkaid #dkpol #Nødhjælp",['Afganistan'],2021-08-16 23:19:03
16,AndersIskov,🌍,Istanbul,889,69,962,25,"Mens situationen i Afghanistan henover weekenden løb mere og mere løbsk, var forsvarsminister @Trinebramsen  flittig til at opdatere sociale medier med forskellige gøremål.

»Endelig kan vi gå til koncert igen.«

#dkpol #Afghanistan 

https://t.co/RlWWEFJNxy",[],2021-08-16 23:14:52
17,miekjaer,"Born in 1964, married, mother of two. Teacher in danish as a foreign language. Interested in climate and environment, people, education and politics.",Horsens,1132,209,4900,12,"Derfor! Angsten for “at svigte udlændinge politiken” … drev @regeringDK @Spolitik til at svigte alle dem i Afghanistan, vi skulle ha ud! Og dermed os álle. #dkpol https://t.co/RjGcImSbi2",[],2021-08-16 23:13:59
18,Koebke_C,"Cd.dh. Art of Købke.
Selvstændig.
Statsrådgv. Af. tpb. 
Made in 2450.

Man har et standpunkt, til man tager et nyt.. Og så håbe at man har lært af det forrige?",,82,25,663,0,@metteabildgaard @Joymogensen @metteoestergard Den du laver der er lidt som den forkælede mobber i skolegården der altid skal spille smart👏👏👏🤪#dkpol #dkmedier #medier #Politik,"['dkpol', 'dkmedier', 'medier', 'Politik']",2021-08-16 23:12:48
19,m_abs,"Altid god for en nørdet bemærkning.
Feminist uden skam i livet.
Humanist. 
Softwareudvikler.
Hobby kok og madelsker.

Him/he",Lake Laogai,700,632,23429,0,@marker27 @Mamatil4_ Hvis det står til store dele af #dkpol er svaret desværre nok ingen af dem. 😠,['dkpol'],2021-08-16 23:00:29
20,7ohn,Treat others as you would like others to treat you,Denmark,784,301,2006,9,"Vi har alle svigtet den offentlige debat om Afghanistankrigen.
Medier, journalister og politikere har demonstreret, at de ikke har ville en kritisk offentlig debat, og endnu engang ser vi konsekvenserne
Bragt i @raesondk den 30.12 2019
#dkpol #Afghanistan
https://t.co/NoWc8mGol7",[],2021-08-16 22:53:10
21,NBartholdus,"International Security, investment and politics. Army officer.",,144,7,239,0,Så er min. to SAS flyvere på vej ind over Pakistan med kurs mod Islamabad. Det ligner næste fase af evakueringen af folk tilbage til Danmark. @DRNyheder @tv2newsdk #dkpol,['dkpol'],2021-08-16 22:52:22
22,nievsyrneh,"Kristen, kulturkonservativ, sans for venstresidens tradisjonelle verdier, opprinnelige idealer og respekt for de gamle arbeiderne som bygde  landet.",Oslo,5453,4970,200034,2,"https://t.co/MpW5fpfn1k
#dkpol - “Vores eneste vigtige mål har hele tiden været at forhindre terrorangreb mod USA. Amerikanske soldater skal ikke dø i en krig”

Der var altså aldrig tale om at forhindre terror i Europa. Hvorfor gik vi ind i US krig? Er vi blevet udnyttet?",['dkpol'],2021-08-16 22:49:16
23,MargueritteEch,|⚜️Author & Freelance-writer⚜️|L&R~Egmont~Aller~Saxo Publish~ Forfatterskabet | Member of Danish Author Union/Society |📚Historical & Political Researcher,⚜️🇩🇰Denmark~Copenhagen Area,2758,3251,32739,2,"https://t.co/MpW5fpfn1k
#dkpol - “Vores eneste vigtige mål har hele tiden været at forhindre terrorangreb mod USA. Amerikanske soldater skal ikke dø i en krig”

Der var altså aldrig tale om at forhindre terror i Europa. Hvorfor gik vi ind i US krig? Er vi blevet udnyttet?",['dkpol'],2021-08-16 22:48:52
24,m_abs,"Altid god for en nørdet bemærkning.
Feminist uden skam i livet.
Humanist. 
Softwareudvikler.
Hobby kok og madelsker.

Him/he",Lake Laogai,700,632,23429,0,"@johnnyhansen12 @Cihat_Bardak Hvorfor stiller du stiller det irrelevante spørgsmål? Skyldes det mandens hudfarve? Hans religion? At du i virkeligheden er Erik Ubehøvlet-Sørensen, aka selveste beviset på Nyrup havde ret? Eller hvad?

#dkpol #trold","['dkpol', 'trold']",2021-08-16 22:48:46
